name,xmin,ymin,xmax,ymax,score
10006/1459541791.png,79,0,1453,560,0.9427045
10006/1864590858.png,82,1547,1535,2042,0.9045399
10006/1874946579.png,347,1603,1573,2044,0.9398969
10006/462822612.png,334,0,1615,479,0.9565396
10011/1031443799.png,243,1089,1785,2045,0.9350168
10011/220375232.png,150,0,1893,1001,0.9534171
10011/270344397.png,267,2,1886,933,0.9460231
10011/541722628.png,99,1012,1792,2047,0.9508244
10025/1365269360.png,167,3,1610,861,0.9579422
10025/288394860.png,164,1350,1517,2046,0.9476534
10025/562340703.png,148,0,1530,756,0.9578064
10025/893612858.png,279,1212,1696,2043,0.9489065
10038/1350492010.png,445,1386,1824,2047,0.94161844
10038/1967300488.png,286,0,1769,690,0.9445386
10038/2142944869.png,210,0,1614,696,0.95527154
10038/850559196.png,294,1369,1739,2043,0.92081696
10042/102733848.png,274,11,1880,1385,0.9433685
10042/1648588715.png,121,13,1791,1441,0.9478879
10042/202939811.png,16,5,1582,1199,0.9520241
10042/294481519.png,282,800,1793,2041,0.94176406
10042/495770405.png,103,691,1728,2038,0.94567686
10048/1234933874.png,304,0,1509,872,0.95334363
10048/1577142909.png,240,1102,1722,2046,0.9532881
10048/1842203124.png,407,1150,1693,2048,0.93799704
10048/964141995.png,292,2,1765,820,0.95131326
10049/1207499426.png,150,669,1977,2033,0.95893854
10049/1351270472.png,36,657,1903,2036,0.9525589
10049/1464813991.png,157,14,1959,1369,0.95666176
10049/349510516.png,78,10,1884,1379,0.9589811
10049/906829939.png,253,2,2077,1186,0.9553415
10049/94335194.png,209,788,2029,2042,0.9561116
10050/1428987847.png,68,1154,1765,2043,0.9502189
10050/1614607569.png,233,1310,1842,2047,0.9495137
10050/1749389520.png,200,0,1883,748,0.9561895
10050/588678397.png,24,6,1639,910,0.9562513
10051/1238319934.png,216,0,1713,630,0.9280991
10051/2046475482.png,118,1435,1825,2048,0.9081295
10051/833024366.png,27,1425,1605,2046,0.91713244
10051/938549206.png,32,1,1588,631,0.9296326
10086/1479874325.png,24,1584,1480,2045,0.8672609
10086/1973073874.png,31,0,1570,471,0.88792944
10086/2029358943.png,355,1668,1463,2045,0.92903537
10086/51088550.png,414,0,1513,395,0.9461641
10095/1276618392.png,22,321,1806,2057,0.9505025
10095/1450760951.png,167,0,2001,1587,0.94933254
10095/1854592291.png,51,0,1892,1751,0.94957525
10095/25264463.png,76,562,1998,2039,0.95471895
10097/1007799858.png,112,813,2001,2039,0.95366806
10097/166011602.png,31,671,1837,2028,0.9566063
10097/1957744616.png,45,0,1967,1071,0.96499914
10097/268368896.png,21,889,1965,2046,0.95733136
10097/664674273.png,52,12,1879,1341,0.9594067
10097/929754876.png,109,0,2028,1181,0.9579816
10102/1181635673.png,537,27,2034,1704,0.92837757
10102/1241778584.png,121,0,1778,1693,0.9395663
10102/1245250349.png,46,175,1880,2089,0.93703145
10102/1304802631.png,131,301,2024,2068,0.9408459
10102/1480506800.png,32,122,1888,2014,0.9414971
10102/1951607544.png,266,0,2016,1744,0.9236107
10102/453020471.png,68,0,1758,1749,0.9422823
10102/618254763.png,398,158,2013,2039,0.9273929
10106/190315990.png,55,503,1947,2023,0.9582043
10106/2057295788.png,80,16,2013,1464,0.9535277
10106/238675415.png,8,9,1711,1351,0.95048416
