name,xmin,ymin,xmax,ymax,score
0025a5dc99fd5c742026f0b2b030d3e9_2ddfad7286c2b016931ceccd1e2c7bbc.png,365,0,1456,709,0.91336054
0025a5dc99fd5c742026f0b2b030d3e9_451562831387e2822923204cf8f0873e.png,339,0,1547,729,0.93678296
0025a5dc99fd5c742026f0b2b030d3e9_47c8858666bcce92bcbd57974b5ce522.png,5,1315,1491,2045,0.8935259
0025a5dc99fd5c742026f0b2b030d3e9_fcf12c2803ba8dc564bf1287c0c97d9a.png,256,1269,1590,2045,0.93794954
0028fb2c7f0b3a5cb9a80cb0e1cdbb91_16e58fc1d65fa7587247e6224ee96527.png,463,1361,1516,2041,0.9369566
0028fb2c7f0b3a5cb9a80cb0e1cdbb91_3704f91985dcbc69f6ac2803523d1ecb.png,155,0,1392,683,0.9488441
0028fb2c7f0b3a5cb9a80cb0e1cdbb91_7fc1f1bb8bb1a7efaf7104e49c4d8b86.png,416,3,1469,673,0.91991246
0028fb2c7f0b3a5cb9a80cb0e1cdbb91_c4ce68631bf70949570ded31a3c69e60.png,10,1390,1220,2040,0.9470626
0034765af074f93ed33d5e8399355caf_2aca993b3b6e2a32dddd170b00fd5e7d.png,315,1390,1546,2045,0.9342545
0034765af074f93ed33d5e8399355caf_68f09c18925a66ef2840d4a62f237b31.png,469,0,1656,729,0.9442444
0034765af074f93ed33d5e8399355caf_b664cf1e7c968896144a3a2005cd3eb4.png,365,0,1656,684,0.9429992
0034765af074f93ed33d5e8399355caf_d39964544666ed08df9aa1e9e18d1262.png,315,1373,1660,2042,0.93513083
003700f3c960e0b9bca2b8437c3dbf05_17c3d032d611eb3d1baf3434d62483a1.png,107,1446,1357,2046,0.94406575
003700f3c960e0b9bca2b8437c3dbf05_3944b33b99c98e763763b9da54b4f41c.png,39,0,1392,563,0.8413406
003700f3c960e0b9bca2b8437c3dbf05_51b47f9024ccad1356354f56ac916f29.png,415,0,1543,594,0.9273605
003700f3c960e0b9bca2b8437c3dbf05_552a67df6d68b8f9498db7cadd23b0e0.png,25,1482,1388,2044,0.8126896
004426a40da27ef22a866538b772ac44_265596e3534efced063b4e656b7bd64f.png,68,1036,1556,2043,0.9391153
004426a40da27ef22a866538b772ac44_7197f7e6f5ca3b9821d0460dcdc975d3.png,190,1184,1613,2046,0.95039225
004426a40da27ef22a866538b772ac44_78b8a2f4b10790d6b2a11e081eaf209a.png,130,2,1610,939,0.9585342
004426a40da27ef22a866538b772ac44_d3ae4a0aa59a608a2823c029e988985f.png,0,6,1630,1051,0.94905025
00464e1a9bfd88d33466321e03a55c1a_1ae7d3012efee08737b9036e20649630.png,17,1454,1380,2046,0.93439186
00464e1a9bfd88d33466321e03a55c1a_643e9d162da220e8dbad171600375576.png,126,0,1644,667,0.9221334
00464e1a9bfd88d33466321e03a55c1a_97191e6e909300638a2a40c63f53a1d3.png,157,0,1526,585,0.9385325
00464e1a9bfd88d33466321e03a55c1a_e7ad5afd2fb520aca0409c734315e385.png,43,1417,1615,2042,0.9380105
00568c6b2c47f99e0156c9bca84c3963_20ff52d0631b27a5387abcd5920b3e5d.png,58,1,1503,586,0.86927867
00568c6b2c47f99e0156c9bca84c3963_24c8e38d17b5d767df6670d1b2ce66f5.png,37,1589,1308,2046,0.9421275
00568c6b2c47f99e0156c9bca84c3963_8bbd63e7de0f6e7c5ab0b6f3db2abb26.png,59,0,1419,481,0.95037425
00568c6b2c47f99e0156c9bca84c3963_8fbe4dea1272837bade6b99711f25451.png,53,1474,1553,2042,0.8621586
006f2e9cb3256c02fe82a7ff29af6260_31d6582c2181ae91fc2369c5b20af417.png,212,1258,1733,2047,0.94718826
006f2e9cb3256c02fe82a7ff29af6260_669855e0fcbf069c4de85d4586ad8e26.png,336,1139,1764,2041,0.88853115
006f2e9cb3256c02fe82a7ff29af6260_8e22baa49decc916308b6b89191a49cb.png,237,1,1773,820,0.9582086
006f2e9cb3256c02fe82a7ff29af6260_9c67560e601fe9ae14381396bf9a787a.png,351,2,1819,901,0.94935685
0089db766396d0df4406d46cd6107b58_14bffe41f224fce0afdd90c35c0abacb.png,30,1462,1545,2045,0.8545252
0089db766396d0df4406d46cd6107b58_2098cb1050e7165044544d77bb8bfd4a.png,401,0,1544,623,0.93242073
0089db766396d0df4406d46cd6107b58_6e5117c49a83c06b3c8ccf26bbab657b.png,345,1558,1444,2045,0.9256842
